Date,Close,Volume,Close_x
12/10/2020 16:00:00,144.71,70447537,130.47
12/11/2020 16:00:00,139.25,26980830,123.02
12/14/2020 16:00:00,130,16966089,123.33
12/15/2020 16:00:00,124.8,10914432,126
12/16/2020 16:00:00,137.99,20409551,124.98
12/17/2020 16:00:00,147.05,15054725,124.48
12/18/2020 16:00:00,157.3,15954235,125.54
12/21/2020 16:00:00,163.02,17788120,123.36
12/22/2020 16:00:00,163.19,9886633,123.15
12/23/2020 16:00:00,158.01,5852486,126.49
12/24/2020 13:00:00,154.84,3621360,126.96
12/28/2020 16:00:00,149,6229179,128.48
12/29/2020 16:00:00,150,5402266,131.3
12/30/2020 16:00:00,148.43,3462445,132.12
12/31/2020 16:00:00,146.8,2795813,132.4
1/4/2021 16:00:00,139.15,6409884,131.37
1/5/2021 16:00:00,148.3,5974246,137.14
1/6/2021 16:00:00,142.77,4213936,143.42
1/7/2021 16:00:00,151.27,4482769,142.29
1/8/2021 16:00:00,149.77,4615625,144.02
1/11/2021 16:00:00,148.13,2801867,142.96
1/12/2021 16:00:00,160.8,8145892,140.95
1/13/2021 16:00:00,169.99,12529711,140.61
1/14/2021 16:00:00,180.5,9926539,144.17
1/15/2021 16:00:00,169.27,8575682,140.69
1/19/2021 16:00:00,173.69,4685415,142.82
1/20/2021 16:00:00,161.83,8517416,141.75
1/21/2021 16:00:00,180.4,17618431,138.88
1/22/2021 16:00:00,181.87,7136811,136.52
1/25/2021 16:00:00,177.53,7472859,135.99
1/26/2021 16:00:00,192.74,6460904,131.5
1/27/2021 16:00:00,201.25,11019787,123.21
1/28/2021 16:00:00,187.37,7077661,126.74
1/29/2021 16:00:00,183.63,4529815,124.1
2/1/2021 16:00:00,180.44,3877389,127.3
2/2/2021 16:00:00,179.17,4413624,136.13
2/3/2021 16:00:00,185.72,4168965,138.48
2/4/2021 16:00:00,195.8,3637039,141.91
2/5/2021 16:00:00,195.31,2869659,141.4
2/8/2021 16:00:00,200.43,3492593,145.42
2/9/2021 16:00:00,199.88,4725841,144.48
2/10/2021 16:00:00,211.66,5257239,148.9
2/11/2021 16:00:00,216.84,3595183,149.91
2/12/2021 16:00:00,212.68,3041744,146.51
2/16/2021 16:00:00,209.86,3487929,147.84
2/17/2021 16:00:00,201.96,4090619,154.04
2/18/2021 16:00:00,198.04,2791419,156.73
2/19/2021 16:00:00,201.07,2605751,158.92
2/22/2021 16:00:00,195.34,3674223,160.61
2/23/2021 16:00:00,187.59,5902404,159.69
2/24/2021 16:00:00,200.2,5983538,162.78
2/25/2021 16:00:00,182.06,11568492,157.18
2/26/2021 16:00:00,206.35,19368608,161
3/1/2021 16:00:00,196.42,15798527,161.24
3/2/2021 16:00:00,189.9,9144947,160.27
3/3/2021 16:00:00,180.4,10592934,163.43
3/4/2021 16:00:00,180.23,9993671,158.41
3/5/2021 16:00:00,179.81,8788544,166.45
3/8/2021 16:00:00,180.81,4988473,167.9
3/9/2021 16:00:00,183.11,6079925,165.77
3/10/2021 16:00:00,183.79,6145645,167.58
3/11/2021 16:00:00,197.87,6031244,171.08
3/12/2021 16:00:00,206.74,5556463,174.59
3/15/2021 16:00:00,209.99,4337470,177.1
3/16/2021 16:00:00,200.01,4605572,176.38
3/17/2021 16:00:00,201.36,3781866,185.27
3/18/2021 16:00:00,191.45,3729507,180.8
3/19/2021 16:00:00,194.39,4444583,179.98
3/22/2021 16:00:00,195,3740448,173.09
3/23/2021 16:00:00,187.14,3460590,168.42
3/24/2021 16:00:00,178.85,3756097,166.14
3/25/2021 16:00:00,176.16,5264100,174.66
3/26/2021 16:00:00,174.4,3562912,176.45
3/29/2021 16:00:00,182.5,4508821,176.13
3/30/2021 16:00:00,183.1,2903262,175.87
3/31/2021 16:00:00,187.94,3079510,172.12
4/1/2021 16:00:00,188.24,2921447,175.93
4/5/2021 16:00:00,186.69,2591425,176.02
4/6/2021 16:00:00,190.03,3565634,174.7
4/7/2021 16:00:00,179.94,6663462,172.04
4/8/2021 16:00:00,180.18,2625274,174.57
4/9/2021 16:00:00,179.5,2910167,174.98
4/12/2021 16:00:00,176.49,2619833,171.71
4/13/2021 16:00:00,177.95,3573584,170.93
4/14/2021 16:00:00,176.43,2938566,171.72
4/15/2021 16:00:00,175.35,2894865,170.55
4/16/2021 16:00:00,178.69,3058294,173.91
4/19/2021 16:00:00,174.58,3125736,175.62
4/20/2021 16:00:00,169.57,4574999,170.46
4/21/2021 16:00:00,167.07,3878608,176.26
4/22/2021 16:00:00,170.71,3856499,175.65
4/23/2021 16:00:00,174.25,3335128,177.56
4/26/2021 16:00:00,174.88,2549403,176.68
4/27/2021 16:00:00,177.94,2882972,177.08
4/28/2021 16:00:00,180,2409708,177.6
4/29/2021 16:00:00,177.68,3116021,177.87
4/30/2021 16:00:00,172.71,3579957,176.23
5/3/2021 16:00:00,168.11,3149738,174.82
5/4/2021 16:00:00,168.9,4658011,173.45
5/5/2021 16:00:00,162.33,3590067,170.92
5/6/2021 16:00:00,153.64,8528976,164.82
5/7/2021 16:00:00,151.21,7133990,173.46
5/10/2021 16:00:00,146.73,5827152,173.09
5/11/2021 16:00:00,142.73,8257386,172.4
5/12/2021 16:00:00,140.25,5307514,161.99
5/13/2021 16:00:00,135.75,13005365,167.72
5/14/2021 16:00:00,141.2,20325381,171.8
5/17/2021 16:00:00,132.5,39755015,169.45
5/18/2021 16:00:00,135.02,18555649,168.1
5/19/2021 16:00:00,138.19,15565537,167.07
5/20/2021 16:00:00,136.2,8903573,169.14
5/21/2021 16:00:00,134.71,10056483,168.06
5/24/2021 16:00:00,135.91,8543614,171.1
5/25/2021 16:00:00,133.99,10435842,173.06
5/26/2021 16:00:00,134.75,8179216,174.83
5/27/2021 16:00:00,143.17,21270189,174.11
5/28/2021 16:00:00,140.4,12000561,176.95
6/1/2021 16:00:00,144.31,16552092,177.31
6/2/2021 16:00:00,151,16245118,175.17
6/3/2021 16:00:00,144.19,11083344,170.75
6/4/2021 16:00:00,150.73,8534867,171.42
6/7/2021 16:00:00,148.97,7780222,170.35
6/8/2021 16:00:00,147.01,7125810,172.61
6/9/2021 16:00:00,144.85,5606457,172.8
6/10/2021 16:00:00,146.12,9482482,171.58
6/11/2021 16:00:00,148.44,4819914,172.94
6/14/2021 16:00:00,149.21,6107480,169.14
6/15/2021 16:00:00,151.78,12007681,170
6/16/2021 16:00:00,149.15,9632778,167.96
6/17/2021 16:00:00,150.7,8171295,165.92
6/18/2021 16:00:00,152.52,11628917,162.93
6/21/2021 16:00:00,149.7,8040208,167.92
6/22/2021 16:00:00,149.68,5790390,166.93
6/23/2021 16:00:00,151.58,9335718,168.95
6/24/2021 16:00:00,150.73,8173384,170.05
6/25/2021 16:00:00,149.67,6452449,170.99
6/28/2021 16:00:00,149.94,6450955,163.55
6/29/2021 16:00:00,146.08,7478999,159.9
6/30/2021 16:00:00,153.14,9798633,163.71
7/1/2021 16:00:00,153.08,9793859,167.03
7/2/2021 16:00:00,150.23,4844712,167.42
7/6/2021 16:00:00,148.37,5069422,165.57
7/7/2021 16:00:00,143.72,5650921,162.96
7/8/2021 16:00:00,142.53,4827157,161.56
7/9/2021 16:00:00,149.64,7065139,167.74
7/12/2021 16:00:00,146.69,3276273,167.35
7/13/2021 16:00:00,143.41,5871457,162.02
7/14/2021 16:00:00,139.09,8545476,160.99
7/15/2021 16:00:00,137.5,6576068,159.29
7/16/2021 16:00:00,134.31,6094631,157.61
7/19/2021 16:00:00,131.88,7215671,151.64
7/20/2021 16:00:00,136.09,6274608,156.12
7/21/2021 16:00:00,139.25,5269631,162.42
7/22/2021 16:00:00,139.47,4628360,160.03
7/23/2021 16:00:00,138.73,2811110,161.55
7/26/2021 16:00:00,142,6489516,162.7
7/27/2021 16:00:00,141.58,5113147,163.72
7/28/2021 16:00:00,143.3,4466785,163.19
7/29/2021 16:00:00,143.47,5005450,163.73
7/30/2021 16:00:00,144.01,4167130,160.87
8/2/2021 16:00:00,145.49,4522437,159.19
8/3/2021 16:00:00,145.65,5491010,154.78
8/4/2021 16:00:00,147.4,4631430,153.25
8/5/2021 16:00:00,150.32,4737513,161.69
8/6/2021 16:00:00,149.99,4043474,148.89
8/9/2021 16:00:00,149.44,5541924,148.8
8/10/2021 16:00:00,147.95,5149830,148.6
8/11/2021 16:00:00,148.16,6717728,150.07
8/12/2021 16:00:00,151.15,8925109,150.33
8/13/2021 16:00:00,152.76,16789079,148.63
8/16/2021 16:00:00,148.57,7720442,144.14
8/17/2021 16:00:00,143.9,7855110,142.57
8/18/2021 16:00:00,146.74,5190073,140.35
8/19/2021 16:00:00,142.65,4732393,138.05
8/20/2021 16:00:00,143.7,2996182,137.79
8/23/2021 16:00:00,146.79,4727431,142.84
8/24/2021 16:00:00,161.42,22096778,146.63
8/25/2021 16:00:00,160.35,7267704,147.62
8/26/2021 16:00:00,152.73,7242951,143.86
8/27/2021 16:00:00,154.18,4818820,146.74
8/30/2021 16:00:00,156.02,3968745,144.19
8/31/2021 16:00:00,154.99,7403951,144.5
9/1/2021 16:00:00,156.59,4324746,146.17
9/2/2021 16:00:00,157.2,3302257,143.77
9/3/2021 16:00:00,158,4460935,142.64
9/7/2021 16:00:00,165,11017034,147.49
9/8/2021 16:00:00,163.93,5866501,145.67
9/9/2021 16:00:00,166,5935754,146.74
9/10/2021 16:00:00,165.2,3985251,145.39
9/13/2021 16:00:00,160.32,7520949,148.79
9/14/2021 16:00:00,163.3,4655503,150.6
9/15/2021 16:00:00,166.37,5656017,151.32
9/16/2021 16:00:00,168.15,6094825,150.17
9/17/2021 16:00:00,166.59,20024675,152.28
9/20/2021 16:00:00,161.64,6846832,153.59
9/21/2021 16:00:00,169.29,8592501,152.95
9/22/2021 16:00:00,169.96,4353595,158.95
9/23/2021 16:00:00,175.13,5370786,166.84
9/24/2021 16:00:00,175.88,4084868,171.99
9/27/2021 16:00:00,174.26,3551430,169.65
9/28/2021 16:00:00,168.58,4362803,168.78
9/29/2021 16:00:00,168.07,2788740,166.27
9/30/2021 16:00:00,167.75,2663690,163.9
10/1/2021 16:00:00,173.01,4963044,169.79
10/4/2021 16:00:00,164.5,4459382,170.79
10/5/2021 16:00:00,164.74,4340100,169.1
10/6/2021 16:00:00,167.25,2461482,170.21
10/7/2021 16:00:00,169.6,2119612,172.3
10/8/2021 16:00:00,169.97,2265114,169.98
10/11/2021 16:00:00,166.67,2046310,168.51
10/12/2021 16:00:00,172.75,6028098,169.55
10/13/2021 16:00:00,173.58,3523610,168.51
10/14/2021 16:00:00,170.5,4145257,168.89
10/15/2021 16:00:00,169.18,3592734,171.99
10/18/2021 16:00:00,172.32,2793704,169.92
10/19/2021 16:00:00,170.74,2776646,166.2
10/20/2021 16:00:00,169.76,2687022,163.73
10/21/2021 16:00:00,170.5,2889355,162.75
10/22/2021 16:00:00,166.64,2985991,161.67
10/25/2021 16:00:00,169.24,2620794,161.44
10/26/2021 16:00:00,171.14,2937893,162.75
10/27/2021 16:00:00,169.1,3009842,164.14
10/28/2021 16:00:00,171.7,2143659,164.26
10/29/2021 16:00:00,170.66,2294417,164.41
11/1/2021 16:00:00,174.6,4401097,167.23
11/2/2021 16:00:00,172.87,3292058,159.84
11/3/2021 16:00:00,172.87,2827068,162.25
11/4/2021 16:00:00,178.45,9664613,157.55
11/5/2021 16:00:00,201.62,27330521,182.17
11/8/2021 16:00:00,200.32,12855319,188.43
11/9/2021 16:00:00,194.68,9056091,188
11/10/2021 16:00:00,192.22,6704083,185.67
11/11/2021 16:00:00,191.61,5899031,182.58
11/12/2021 16:00:00,206.54,12057833,178.91
11/15/2021 16:00:00,207.21,7479309,177.61
11/16/2021 16:00:00,207.04,4431316,175.49
11/17/2021 16:00:00,199.11,6383375,177.59
11/18/2021 16:00:00,204.33,4601086,176.58
11/19/2021 16:00:00,196.42,8185488,175.16
11/22/2021 16:00:00,181.73,12626362,173.24
11/23/2021 16:00:00,178.27,6456729,177.97
11/24/2021 16:00:00,179.89,4763328,176.54
11/26/2021 13:00:00,173.86,6044126,159.8
11/29/2021 16:00:00,180.08,5317368,166.5
11/30/2021 16:00:00,172.54,10682739,161.09
12/1/2021 16:00:00,163.08,7657589,155.66
12/2/2021 16:00:00,169.6,5687601,161.28
12/3/2021 16:00:00,166.75,6460855,155.58
12/6/2021 16:00:00,180.85,9813848,166.07
12/7/2021 16:00:00,183.14,6264558,166.57
12/8/2021 16:00:00,186.49,4218671,172.39
12/9/2021 16:00:00,181.46,3518025,169.75
12/10/2021 16:00:00,180.42,3980441,166.95
12/13/2021 16:00:00,171.04,7263664,161
12/14/2021 16:00:00,167.96,5660417,158.26
12/15/2021 16:00:00,168.14,6678543,157.63
12/16/2021 16:00:00,156.38,9415120,154.43
12/17/2021 16:00:00,157.91,24062440,159.31
12/20/2021 16:00:00,157.23,4639263,162.43
12/21/2021 16:00:00,165.66,6293459,177.27
12/22/2021 16:00:00,169.29,4802483,182.42
12/23/2021 16:00:00,171.31,4017435,183.78
12/27/2021 16:00:00,171.68,2726288,182.25
12/28/2021 16:00:00,169.71,2297204,180.8
12/29/2021 16:00:00,167.44,1995405,180.97
12/30/2021 16:00:00,168.78,2181120,181.47
12/31/2021 16:00:00,166.49,2595979,180.72
1/3/2022 16:00:00,172.68,4241965,184.97
1/4/2022 16:00:00,170.8,4079976,185.37
1/5/2022 16:00:00,162.25,4804571,181.3
1/6/2022 16:00:00,159.75,5049594,177.58
1/7/2022 16:00:00,166.05,5624579,179.91
1/10/2022 16:00:00,160.71,6973588,180.57
1/11/2022 16:00:00,168.61,5331629,182.47
1/12/2022 16:00:00,169.54,3534275,181.25
1/13/2022 16:00:00,166,4893757,185.06
1/14/2022 16:00:00,163.99,4144039,184.4
1/18/2022 16:00:00,154.69,5814071,177.56
1/19/2022 16:00:00,154.58,5127374,176.46
1/20/2022 16:00:00,158,4941879,177.5
1/21/2022 16:00:00,156.73,7242250,174.42
1/24/2022 16:00:00,147.9,14627354,171.35
